Cluster ID,id,name,birth_year,death_year
696,fk__p_38093,"Savoir, Alfred",1883,1934
697,fk__p_38094,"Schik-Markenau, Alfred von",1868,1929
698,fk__p_38095,"Sperber, Alfred",1898,1967
25,fk__p_38096,"Staackmann, Alfred",1876,1941
699,fk__p_38100,"Haber, Alfred von",1000,1000
700,fk__p_38104,Ali ibn Abi Talib,1000,1000
701,fk__p_38106,"Hechy, Alice",1895,1973
702,fk__p_38107,"K., Alice",1000,1000
703,fk__p_38108,"Lach, Alice",1893,1969
704,fk__p_38109,"Regnault, Alice",1849,1931
705,fk__p_38110,"Salomon, Alice",1872,1948
706,fk__p_38112,"Simon, Alice",1911,1000
707,fk__p_38113,"Ulmer, Alice",1000,1000
708,fk__p_38114,"Heintschel-Heinegg, Alice von, geb. Heider",1888,1978
709,fk__p_38115,"Allina, Heinrich",1878,1953
710,fk__p_38116,Alius,1000,1000
711,fk__p_38117,Aelius Donatus,1000,1000
712,fk__p_38118,"Alexandra Feodorowna, Kaiserin von Rußland, geb. Alix von Hessen und Rhein",1872,1918
713,fk__p_38120,Alciphron,1000,1000
714,fk__p_38121,Alkohol,1000,1000
715,fk__p_38122,"Allan, Maude",1873,1956
716,fk__p_38123,Alldeutscher,1000,1000
717,fk__p_38124,Alldeutscher Leser,1000,1000
718,fk__p_38128,"Allmeder, Friedrich ",1843,1917
719,fk__p_38131,"Muth, Alma",1000,1000
720,fk__p_38133,Almazow,1000,1000
721,fk__p_38134,"Almquist, Carl Jonas Love",1793,1866
722,fk__p_38135,Alois,1000,1000
723,fk__p_38136,"Essigmann, Alois",1878,1937
724,fk__p_38137,"Faschingbauer, Alois",1000,1000
725,fk__p_38138,"Hlaváček, Alois Josef",1847,1903
726,fk__p_38139,"M., Alois",1000,1000
727,fk__p_38141,"Hein, Alois Raimund",1852,1937
728,fk__p_38142,"Sabatil, Alois",1000,1000
729,fk__p_38144,"Schönn, Alois",1826,1897
730,fk__p_38145,"Skala, Alois ",1000,1000
731,fk__p_38146,"Strasky, Alois Karl",1868,1930
732,fk__p_38147,"Trost, Alois",1870,1947
733,fk__p_38148,"Übelhör, Alois",1000,1000
734,fk__p_38149,"Veltzé, Alois",1864,1927
735,fk__p_38150,"Wild, Alois",1890,1970
736,fk__p_38152,"Zucker, Alois",1842,1906
737,fk__p_38153,"B., Aloisia",1882,1000
738,fk__p_38154,"H., Aloisia",1906,1000
739,fk__p_38156,"Alsberg, Max",1877,1933
740,fk__p_38158,Alte Abonnentin,1000,1000
741,fk__p_38164,Alter Abonnent,1000,1000
742,fk__p_38165,"Eisenschloß, Alter",1879,1925
743,fk__p_38166,"Altgeld, Johann Peter",1847,1902
744,fk__p_38167,"Salm-Reifferscheidt-Raitz, August? Altgraf zu",1866,1942
745,fk__p_38169,"Altmann, M. Wilhelm",1864,1000
746,fk__p_38170,"Althoff, Friedrich Theodor",1839,1908
747,fk__p_38171,"Altringen, Heinz",1891,1968
748,fk__p_38172,"Alwin, Karl Oskar",1891,1945
749,fk__p_38173,"Neuß, Alwin",1879,1935
750,fk__p_38174,"Dollfuß, Alwine, geb. Glienke",1897,1973
751,fk__p_38177,"M., Amalia",1886,1000
752,fk__p_38178,"B., Amalie",1000,1000
753,fk__p_38179,"Haizinger, Amalie, geb. Morstadt",1800,1884
754,fk__p_38180,"K., Amalie",1870,1000
755,fk__p_38181,"Schmiedl, Amalie",1855,1000
756,fk__p_38182,"Aman, Andreas August",1842,1927
757,fk__p_38186,Ambros Bei,1000,1000
758,fk__p_38187,"Mögele, Ambros",1000,1000
759,fk__p_38188,"Ambrositsch, Edwin",1000,1000
760,fk__p_38189,"Heller, Amely",1881,1000
761,fk__p_38190,Amenhotep,1000,1000
762,fk__p_38191,"Ameseder, Eduard",1856,1939
763,fk__p_38192,"Amphitheatrow, Alexander Valentinowitsch",1862,1938
764,fk__p_38193,"de Amicis, Edmondo",1846,1908
765,fk__p_38194,Amico veritas,1000,1000
766,fk__p_38195,"Amira, Karl",1848,1930
767,fk__p_38196,"Ammer, K. L.",1879,1959
768,fk__p_38198,"Rothschild, Mayer Amschel",1744,1812
769,fk__p_38199,"Amundsen, Roald Engelbregt Gravning",1872,1928
770,fk__p_38200,An ordinary Jew,1000,1000
771,fk__p_38202,Analphabet,1000,1000
772,fk__p_38204,"Kolochy, Anastasia",1000,1000
773,fk__p_38205,"Grün, Anastasius",1806,1876
774,fk__p_38207,"France, Anatole",1844,1924
775,fk__p_38208,"Leroy-Beaulieu, Anatole",1842,1912
776,fk__p_38209,"Anatour, Marie",1856,1929
777,fk__p_38210,Anaxagoras,1000,428
778,fk__p_38211,"Anday, Rosette",1903,1977
779,fk__p_38212,"Andés, Ottilie",1864,1909
780,fk__p_38214,andere Leser,1000,1000
781,fk__p_38216,"Anderschitz, Mirko",1000,1000
782,fk__p_38217,"Andersen, Hans Christian",1805,1875
783,fk__p_38218,Andersgläubiger,1000,1000
784,fk__p_38219,"Gábor, Andor",1884,1953
785,fk__p_38220,"Kovács, Andor",1874,1934
786,fk__p_38222,"Andrássy, Gyula (Julius) Graf der Ältere",1823,1890
787,fk__p_38223,"André, F.",1000,1000
788,fk__p_38224,"Bernstorff, Andreas Peter Graf",1735,1797
789,fk__p_38226,"Gide, André",1869,1951
790,fk__p_38228,"Martinet, André",1860,1920
791,fk__p_38229,"Masséna, André duc de Rivoli",1758,1817
792,fk__p_38230,"Robert, André",1902,1989
793,fk__p_38231,"Andreas, Hl.",1000,1000
794,fk__p_38232,"Gryphius, Andreas",1616,1664
795,fk__p_38233,"Hemberger, Andreas",1876,1946
796,fk__p_38234,"Hiltbrant, Andre",1370,1449
797,fk__p_38235,"Hofer, Andreas",1767,1810
798,fk__p_38236,"Kriklivi, Andreas",1000,1000
799,fk__p_38237,"Latzko, Andreas",1876,1943
800,fk__p_38238,"Ráth, Andreas",1000,1000
801,fk__p_38239,"Nikolajew, Andrej Semonowitsch",1000,1000
26,fk__p_38241,"Andrejew, Leonid Nikolajewitsch",1871,1919
802,fk__p_38242,"Andrejewna, Maria Fiodorowna",1868,1953
803,fk__p_38246,Angelo da Foligno,1000,1000
